<Rules>,,,,,,,,,,,,
Colors,11,D,E,F,G,H,I,J,K,L,M,N
Clarities,10,VVS1,VVS2,VS1,VS2,SI1,SI2,SI3,I1,I2,I3,
EX,VVS2,E,2.3856,2.4355,0.01,Diameter,,,,,,
EX,VS1,E,2.3856,2.4355,5.15,Diameter,,,,,,
EX,VS2,E,2.3856,2.4355,4.75,Diameter,,,,,,
EX,SI1,E,2.3856,2.4355,4.4,Diameter,,,,,,
EX,SI2,E,2.3856,2.4355,4.05,Diameter,,,,,,
EX,SI3,E,2.3856,2.4355,3.65,Diameter,,,,,,
EX,I1,E,2.3856,2.4355,3.2,Diameter,,,,,,
EX,I2,E,2.3856,2.4355,2.35,Diameter,,,,,,
EX,I3,E,2.3856,2.4355,2,Diameter,,,,,,
EX,VVS1,F,2.3856,2.4355,6.1,Diameter,,,,,,
EX,VVS2,F,2.3856,2.4355,0.01,Diameter,,,,,,
EX,VS1,F,2.3856,2.4355,4.9,Diameter,,,,,,
EX,VS2,F,2.3856,2.4355,4.6,Diameter,,,,,,
EX,SI1,F,2.3856,2.4355,4.3,Diameter,,,,,,
EX,SI2,F,2.3856,2.4355,4.05,Diameter,,,,,,
EX,SI3,F,2.3856,2.4355,3.65,Diameter,,,,,,
EX,I1,F,2.3856,2.4355,3.2,Diameter,,,,,,
EX,I2,F,2.3856,2.4355,2.35,Diameter,,,,,,
EX,I3,F,2.3856,2.4355,2,Diameter,,,,,,
EX,VVS1,G,2.3856,2.4355,6.1,Diameter,,,,,,
EX,VVS2,G,2.3856,2.4355,0.01,Diameter,,,,,,
EX,VS1,G,2.3856,2.4355,4.9,Diameter,,,,,,
EX,VS2,G,2.3856,2.4355,4.6,Diameter,,,,,,
EX,SI1,G,2.3856,2.4355,4.3,Diameter,,,,,,
EX,SI2,G,2.3856,2.4355,4.05,Diameter,,,,,,
EX,SI3,G,2.3856,2.4355,3.65,Diameter,,,,,,
EX,I1,G,2.3856,2.4355,3.2,Diameter,,,,,,
EX,I2,G,2.3856,2.4355,2.35,Diameter,,,,,,
EX,I3,G,2.3856,2.4355,2,Diameter,,,,,,
EX,VVS1,H,2.3856,2.4355,5.2,Diameter,,,,,,
EX,VVS2,H,2.3856,2.4355,0.01,Diameter,,,,,,
EX,VS1,H,2.3856,2.4355,4.15,Diameter,,,,,,
EX,VS2,H,2.3856,2.4355,4,Diameter,,,,,,
EX,SI1,H,2.3856,2.4355,3.9,Diameter,,,,,,
EX,SI2,H,2.3856,2.4355,3.8,Diameter,,,,,,
EX,SI3,H,2.3856,2.4355,3.4,Diameter,,,,,,
EX,I1,H,2.3856,2.4355,2.9,Diameter,,,,,,
EX,I2,H,2.3856,2.4355,2.2,Diameter,,,,,,
EX,I3,H,2.3856,2.4355,1.7,Diameter,,,,,,
EX,VVS1,I,2.3856,2.4355,5.2,Diameter,,,,,,
EX,VVS2,I,2.3856,2.4355,0.01,Diameter,,,,,,
EX,VS1,I,2.3856,2.4355,4.15,Diameter,,,,,,
EX,VS2,I,2.3856,2.4355,4,Diameter,,,,,,
EX,SI1,I,2.3856,2.4355,3.9,Diameter,,,,,,
EX,SI2,I,2.3856,2.4355,3.8,Diameter,,,,,,
EX,SI3,I,2.3856,2.4355,3.4,Diameter,,,,,,
EX,I1,I,2.3856,2.4355,2.9,Diameter,,,,,,
EX,I2,I,2.3856,2.4355,2.2,Diameter,,,,,,
EX,I3,I,2.3856,2.4355,1.7,Diameter,,,,,,
EX,VVS1,J,2.3856,2.4355,4.2,Diameter,,,,,,
EX,VVS2,J,2.3856,2.4355,0.01,Diameter,,,,,,
EX,VS1,J,2.3856,2.4355,4,Diameter,,,,,,
EX,VS2,J,2.3856,2.4355,3.7,Diameter,,,,,,
EX,SI1,J,2.3856,2.4355,3.5,Diameter,,,,,,
EX,SI2,J,2.3856,2.4355,3.3,Diameter,,,,,,
EX,SI3,J,2.3856,2.4355,2.7,Diameter,,,,,,
EX,I1,J,2.3856,2.4355,2.4,Diameter,,,,,,
EX,I2,J,2.3856,2.4355,1.6,Diameter,,,,,,
EX,I3,J,2.3856,2.4355,1.25,Diameter,,,,,,
EX,VVS1,K,2.3856,2.4355,4.2,Diameter,,,,,,
EX,VVS2,K,2.3856,2.4355,0.01,Diameter,,,,,,
EX,VS1,K,2.3856,2.4355,4,Diameter,,,,,,
EX,VS2,K,2.3856,2.4355,3.7,Diameter,,,,,,
EX,SI1,K,2.3856,2.4355,3.5,Diameter,,,,,,
EX,SI2,K,2.3856,2.4355,3.3,Diameter,,,,,,
EX,SI3,K,2.3856,2.4355,2.7,Diameter,,,,,,
EX,I1,K,2.3856,2.4355,2.4,Diameter,,,,,,
EX,I2,K,2.3856,2.4355,1.6,Diameter,,,,,,
EX,I3,K,2.3856,2.4355,1.25,Diameter,,,,,,
EX,VVS1,L,2.3856,2.4355,3,Diameter,,,,,,
EX,VVS2,L,2.3856,2.4355,0.01,Diameter,,,,,,
EX,VS1,L,2.3856,2.4355,2.8,Diameter,,,,,,
EX,VS2,L,2.3856,2.4355,2.5,Diameter,,,,,,
EX,SI1,L,2.3856,2.4355,2.1,Diameter,,,,,,
EX,SI2,L,2.3856,2.4355,2,Diameter,,,,,,
EX,SI3,L,2.3856,2.4355,1.6,Diameter,,,,,,
EX,I1,L,2.3856,2.4355,1.45,Diameter,,,,,,
EX,I2,L,2.3856,2.4355,1.15,Diameter,,,,,,
EX,I3,L,2.3856,2.4355,0.9,Diameter,,,,,,
EX,VVS1,M,2.3856,2.4355,3,Diameter,,,,,,
EX,VVS2,M,2.3856,2.4355,0.01,Diameter,,,,,,
EX,VS1,M,2.3856,2.4355,2.8,Diameter,,,,,,
EX,VS2,M,2.3856,2.4355,2.5,Diameter,,,,,,
EX,SI1,M,2.3856,2.4355,2.1,Diameter,,,,,,
EX,SI2,M,2.3856,2.4355,2,Diameter,,,,,,
EX,SI3,M,2.3856,2.4355,1.6,Diameter,,,,,,
EX,I1,M,2.3856,2.4355,1.45,Diameter,,,,,,
EX,I2,M,2.3856,2.4355,1.15,Diameter,,,,,,
EX,I3,M,2.3856,2.4355,0.9,Diameter,,,,,,
EX,VVS1,N,2.3856,2.4355,0,Diameter,,,,,,
EX,VVS2,N,2.3856,2.4355,0,Diameter,,,,,,
EX,VS1,N,2.3856,2.4355,0,Diameter,,,,,,
EX,VS2,N,2.3856,2.4355,0,Diameter,,,,,,
EX,SI1,N,2.3856,2.4355,0,Diameter,,,,,,
EX,SI2,N,2.3856,2.4355,0,Diameter,,,,,,
EX,SI3,N,2.3856,2.4355,0,Diameter,,,,,,
EX,I1,N,2.3856,2.4355,0,Diameter,,,,,,
EX,I2,N,2.3856,2.4355,0,Diameter,,,,,,
EX,I3,N,2.3856,2.4355,0,Diameter,,,,,,
EX,VVS1,D,2.4356,2.4855,6.85,Diameter,,,,,,
EX,VVS2,D,2.4356,2.4855,0.01,Diameter,,,,,,
EX,VS1,D,2.4356,2.4855,5.3,Diameter,,,,,,
EX,VS2,D,2.4356,2.4855,4.8,Diameter,,,,,,
EX,SI1,D,2.4356,2.4855,4.5,Diameter,,,,,,
EX,SI2,D,2.4356,2.4855,4.05,Diameter,,,,,,
EX,SI3,D,2.4356,2.4855,3.65,Diameter,,,,,,
EX,I1,D,2.4356,2.4855,3.2,Diameter,,,,,,
EX,I2,D,2.4356,2.4855,2.35,Diameter,,,,,,
EX,I3,D,2.4356,2.4855,2,Diameter,,,,,,
EX,VVS1,E,2.4356,2.4855,6.85,Diameter,,,,,,
EX,VVS2,E,2.4356,2.4855,0.01,Diameter,,,,,,
EX,VS1,E,2.4356,2.4855,5.3,Diameter,,,,,,
EX,VS2,E,2.4356,2.4855,4.8,Diameter,,,,,,
EX,SI1,E,2.4356,2.4855,4.5,Diameter,,,,,,
EX,SI2,E,2.4356,2.4855,4.05,Diameter,,,,,,
EX,SI3,E,2.4356,2.4855,3.65,Diameter,,,,,,
EX,I1,E,2.4356,2.4855,3.2,Diameter,,,,,,
EX,I2,E,2.4356,2.4855,2.35,Diameter,,,,,,
EX,I3,E,2.4356,2.4855,2,Diameter,,,,,,
EX,VVS1,F,2.4356,2.4855,6.3,Diameter,,,,,,
EX,VVS2,F,2.4356,2.4855,0.01,Diameter,,,,,,
EX,VS1,F,2.4356,2.4855,5,Diameter,,,,,,
EX,VS2,F,2.4356,2.4855,4.7,Diameter,,,,,,
EX,SI1,F,2.4356,2.4855,4.3,Diameter,,,,,,
EX,SI2,F,2.4356,2.4855,4.05,Diameter,,,,,,
EX,SI3,F,2.4356,2.4855,3.65,Diameter,,,,,,
EX,I1,F,2.4356,2.4855,3.2,Diameter,,,,,,
EX,I2,F,2.4356,2.4855,2.35,Diameter,,,,,,
EX,I3,F,2.4356,2.4855,2,Diameter,,,,,,
EX,VVS1,G,2.4356,2.4855,6.3,Diameter,,,,,,
EX,VVS2,G,2.4356,2.4855,0.01,Diameter,,,,,,
EX,VS1,G,2.4356,2.4855,5,Diameter,,,,,,
EX,VS2,G,2.4356,2.4855,4.7,Diameter,,,,,,
EX,SI1,G,2.4356,2.4855,4.3,Diameter,,,,,,
EX,SI2,G,2.4356,2.4855,4.05,Diameter,,,,,,
EX,SI3,G,2.4356,2.4855,3.65,Diameter,,,,,,
EX,I1,G,2.4356,2.4855,3.2,Diameter,,,,,,
EX,I2,G,2.4356,2.4855,2.35,Diameter,,,,,,
EX,I3,G,2.4356,2.4855,2,Diameter,,,,,,
EX,VVS1,H,2.4356,2.4855,5.3,Diameter,,,,,,
EX,VVS2,H,2.4356,2.4855,0.01,Diameter,,,,,,
EX,VS1,H,2.4356,2.4855,4.25,Diameter,,,,,,
EX,VS2,H,2.4356,2.4855,4.1,Diameter,,,,,,
EX,SI1,H,2.4356,2.4855,4,Diameter,,,,,,
EX,SI2,H,2.4356,2.4855,3.95,Diameter,,,,,,
EX,SI3,H,2.4356,2.4855,3.4,Diameter,,,,,,
EX,I1,H,2.4356,2.4855,2.9,Diameter,,,,,,
EX,I2,H,2.4356,2.4855,2.2,Diameter,,,,,,
EX,I3,H,2.4356,2.4855,1.7,Diameter,,,,,,
EX,VVS1,I,2.4356,2.4855,5.3,Diameter,,,,,,
EX,VVS2,I,2.4356,2.4855,0.01,Diameter,,,,,,
EX,VS1,I,2.4356,2.4855,4.25,Diameter,,,,,,
EX,VS2,I,2.4356,2.4855,4.1,Diameter,,,,,,
EX,SI1,I,2.4356,2.4855,4,Diameter,,,,,,
EX,SI2,I,2.4356,2.4855,3.95,Diameter,,,,,,
EX,SI3,I,2.4356,2.4855,3.4,Diameter,,,,,,
EX,I1,I,2.4356,2.4855,2.9,Diameter,,,,,,
EX,I2,I,2.4356,2.4855,2.2,Diameter,,,,,,
EX,I3,I,2.4356,2.4855,1.7,Diameter,,,,,,
EX,VVS1,J,2.4356,2.4855,4.35,Diameter,,,,,,
EX,VVS2,J,2.4356,2.4855,0.01,Diameter,,,,,,
EX,VS1,J,2.4356,2.4855,4.1,Diameter,,,,,,
EX,VS2,J,2.4356,2.4855,3.9,Diameter,,,,,,
EX,SI1,J,2.4356,2.4855,3.5,Diameter,,,,,,
EX,SI2,J,2.4356,2.4855,3.3,Diameter,,,,,,
EX,SI3,J,2.4356,2.4855,2.7,Diameter,,,,,,
EX,I1,J,2.4356,2.4855,2.4,Diameter,,,,,,
EX,I2,J,2.4356,2.4855,1.6,Diameter,,,,,,
EX,I3,J,2.4356,2.4855,1.25,Diameter,,,,,,
EX,VVS1,K,2.4356,2.4855,4.35,Diameter,,,,,,
EX,VVS2,K,2.4356,2.4855,0.01,Diameter,,,,,,
EX,VS1,K,2.4356,2.4855,4.1,Diameter,,,,,,
EX,VS2,K,2.4356,2.4855,3.9,Diameter,,,,,,
EX,SI1,K,2.4356,2.4855,3.5,Diameter,,,,,,
EX,SI2,K,2.4356,2.4855,3.3,Diameter,,,,,,
EX,SI3,K,2.4356,2.4855,2.7,Diameter,,,,,,
EX,I1,K,2.4356,2.4855,2.4,Diameter,,,,,,
EX,I2,K,2.4356,2.4855,1.6,Diameter,,,,,,
EX,I3,K,2.4356,2.4855,1.25,Diameter,,,,,,
EX,VVS1,L,2.4356,2.4855,3.2,Diameter,,,,,,
EX,VVS2,L,2.4356,2.4855,0.01,Diameter,,,,,,
EX,VS1,L,2.4356,2.4855,2.95,Diameter,,,,,,
EX,VS2,L,2.4356,2.4855,2.8,Diameter,,,,,,
EX,SI1,L,2.4356,2.4855,2.5,Diameter,,,,,,
EX,SI2,L,2.4356,2.4855,2.3,Diameter,,,,,,
EX,SI3,L,2.4356,2.4855,1.9,Diameter,,,,,,
EX,I1,L,2.4356,2.4855,1.7,Diameter,,,,,,
EX,I2,L,2.4356,2.4855,1.15,Diameter,,,,,,
EX,I3,L,2.4356,2.4855,0.9,Diameter,,,,,,
EX,VVS1,M,2.4356,2.4855,3.2,Diameter,,,,,,
EX,VVS2,M,2.4356,2.4855,0.01,Diameter,,,,,,
EX,VS1,M,2.4356,2.4855,2.95,Diameter,,,,,,
EX,VS2,M,2.4356,2.4855,2.8,Diameter,,,,,,
EX,SI1,M,2.4356,2.4855,2.5,Diameter,,,,,,
EX,SI2,M,2.4356,2.4855,2.3,Diameter,,,,,,
EX,SI3,M,2.4356,2.4855,1.9,Diameter,,,,,,
EX,I1,M,2.4356,2.4855,1.7,Diameter,,,,,,
EX,I2,M,2.4356,2.4855,1.15,Diameter,,,,,,
EX,I3,M,2.4356,2.4855,0.9,Diameter,,,,,,
EX,VVS1,N,2.4356,2.4855,0,Diameter,,,,,,
EX,VVS2,N,2.4356,2.4855,0,Diameter,,,,,,
EX,VS1,N,2.4356,2.4855,0,Diameter,,,,,,
EX,VS2,N,2.4356,2.4855,0,Diameter,,,,,,
EX,SI1,N,2.4356,2.4855,0,Diameter,,,,,,
EX,SI2,N,2.4356,2.4855,0,Diameter,,,,,,
EX,SI3,N,2.4356,2.4855,0,Diameter,,,,,,
EX,I1,N,2.4356,2.4855,0,Diameter,,,,,,
EX,I2,N,2.4356,2.4855,0,Diameter,,,,,,
EX,I3,N,2.4356,2.4855,0,Diameter,,,,,,
EX,VVS1,D,2.4856,2.5355,6.85,Diameter,,,,,,
EX,VVS2,D,2.4856,2.5355,0.01,Diameter,,,,,,
EX,VS1,D,2.4856,2.5355,5.3,Diameter,,,,,,
EX,VS2,D,2.4856,2.5355,4.8,Diameter,,,,,,
EX,SI1,D,2.4856,2.5355,4.5,Diameter,,,,,,
EX,SI2,D,2.4856,2.5355,4.05,Diameter,,,,,,
EX,SI3,D,2.4856,2.5355,3.65,Diameter,,,,,,
EX,I1,D,2.4856,2.5355,3.2,Diameter,,,,,,
EX,I2,D,2.4856,2.5355,2.35,Diameter,,,,,,
EX,I3,D,2.4856,2.5355,2,Diameter,,,,,,
EX,VVS1,E,2.4856,2.5355,6.85,Diameter,,,,,,
EX,VVS2,E,2.4856,2.5355,0.01,Diameter,,,,,,
EX,VS1,E,2.4856,2.5355,5.3,Diameter,,,,,,
EX,VS2,E,2.4856,2.5355,4.8,Diameter,,,,,,
EX,SI1,E,2.4856,2.5355,4.5,Diameter,,,,,,
EX,SI2,E,2.4856,2.5355,4.05,Diameter,,,,,,
EX,SI3,E,2.4856,2.5355,3.65,Diameter,,,,,,
EX,I1,E,2.4856,2.5355,3.2,Diameter,,,,,,
EX,I2,E,2.4856,2.5355,2.35,Diameter,,,,,,
EX,I3,E,2.4856,2.5355,2,Diameter,,,,,,
EX,VVS1,F,2.4856,2.5355,6.3,Diameter,,,,,,
EX,VVS2,F,2.4856,2.5355,0.01,Diameter,,,,,,
EX,VS1,F,2.4856,2.5355,5,Diameter,,,,,,
EX,VS2,F,2.4856,2.5355,4.7,Diameter,,,,,,
EX,SI1,F,2.4856,2.5355,4.3,Diameter,,,,,,
EX,SI2,F,2.4856,2.5355,4.05,Diameter,,,,,,
EX,SI3,F,2.4856,2.5355,3.65,Diameter,,,,,,
EX,I1,F,2.4856,2.5355,3.2,Diameter,,,,,,
EX,I2,F,2.4856,2.5355,2.35,Diameter,,,,,,
EX,I3,F,2.4856,2.5355,2,Diameter,,,,,,
EX,VVS1,G,2.4856,2.5355,6.3,Diameter,,,,,,
EX,VVS2,G,2.4856,2.5355,0.01,Diameter,,,,,,
EX,VS1,G,2.4856,2.5355,5,Diameter,,,,,,
EX,VS2,G,2.4856,2.5355,4.7,Diameter,,,,,,
EX,SI1,G,2.4856,2.5355,4.3,Diameter,,,,,,
EX,SI2,G,2.4856,2.5355,4.05,Diameter,,,,,,
EX,SI3,G,2.4856,2.5355,3.65,Diameter,,,,,,
EX,I1,G,2.4856,2.5355,3.2,Diameter,,,,,,
EX,I2,G,2.4856,2.5355,2.35,Diameter,,,,,,
EX,I3,G,2.4856,2.5355,2,Diameter,,,,,,
EX,VVS1,H,2.4856,2.5355,5.3,Diameter,,,,,,
EX,VVS2,H,2.4856,2.5355,0.01,Diameter,,,,,,
EX,VS1,H,2.4856,2.5355,4.25,Diameter,,,,,,
EX,VS2,H,2.4856,2.5355,4.1,Diameter,,,,,,
EX,SI1,H,2.4856,2.5355,4,Diameter,,,,,,
EX,SI2,H,2.4856,2.5355,3.95,Diameter,,,,,,
EX,SI3,H,2.4856,2.5355,3.4,Diameter,,,,,,
EX,I1,H,2.4856,2.5355,2.9,Diameter,,,,,,
EX,I2,H,2.4856,2.5355,2.2,Diameter,,,,,,
EX,I3,H,2.4856,2.5355,1.7,Diameter,,,,,,
EX,VVS1,I,2.4856,2.5355,5.3,Diameter,,,,,,
EX,VVS2,I,2.4856,2.5355,0.01,Diameter,,,,,,
EX,VS1,I,2.4856,2.5355,4.25,Diameter,,,,,,
EX,VS2,I,2.4856,2.5355,4.1,Diameter,,,,,,
EX,SI1,I,2.4856,2.5355,4,Diameter,,,,,,
EX,SI2,I,2.4856,2.5355,3.95,Diameter,,,,,,
EX,SI3,I,2.4856,2.5355,3.4,Diameter,,,,,,
EX,I1,I,2.4856,2.5355,2.9,Diameter,,,,,,
EX,I2,I,2.4856,2.5355,2.2,Diameter,,,,,,
EX,I3,I,2.4856,2.5355,1.7,Diameter,,,,,,
EX,VVS1,J,2.4856,2.5355,4.35,Diameter,,,,,,
EX,VVS2,J,2.4856,2.5355,0.01,Diameter,,,,,,
EX,VS1,J,2.4856,2.5355,4.15,Diameter,,,,,,
EX,VS2,J,2.4856,2.5355,3.9,Diameter,,,,,,
EX,SI1,J,2.4856,2.5355,3.5,Diameter,,,,,,
EX,SI2,J,2.4856,2.5355,3.3,Diameter,,,,,,
EX,SI3,J,2.4856,2.5355,2.7,Diameter,,,,,,
EX,I1,J,2.4856,2.5355,2.4,Diameter,,,,,,
EX,I2,J,2.4856,2.5355,1.6,Diameter,,,,,,
EX,I3,J,2.4856,2.5355,1.25,Diameter,,,,,,
EX,VVS1,K,2.4856,2.5355,4.35,Diameter,,,,,,
EX,VVS2,K,2.4856,2.5355,0.01,Diameter,,,,,,
EX,VS1,K,2.4856,2.5355,4.15,Diameter,,,,,,
EX,VS2,K,2.4856,2.5355,3.9,Diameter,,,,,,
EX,SI1,K,2.4856,2.5355,3.5,Diameter,,,,,,
EX,SI2,K,2.4856,2.5355,3.3,Diameter,,,,,,
EX,SI3,K,2.4856,2.5355,2.7,Diameter,,,,,,
EX,I1,K,2.4856,2.5355,2.4,Diameter,,,,,,
EX,I2,K,2.4856,2.5355,1.6,Diameter,,,,,,
EX,I3,K,2.4856,2.5355,1.25,Diameter,,,,,,
EX,VVS1,L,2.4856,2.5355,3.2,Diameter,,,,,,
EX,VVS2,L,2.4856,2.5355,0.01,Diameter,,,,,,
EX,VS1,L,2.4856,2.5355,2.95,Diameter,,,,,,
EX,VS2,L,2.4856,2.5355,2.8,Diameter,,,,,,
EX,SI1,L,2.4856,2.5355,2.5,Diameter,,,,,,
EX,SI2,L,2.4856,2.5355,2.3,Diameter,,,,,,
EX,SI3,L,2.4856,2.5355,1.9,Diameter,,,,,,
EX,I1,L,2.4856,2.5355,1.7,Diameter,,,,,,
EX,I2,L,2.4856,2.5355,1.15,Diameter,,,,,,
EX,I3,L,2.4856,2.5355,0.9,Diameter,,,,,,
EX,VVS1,M,2.4856,2.5355,3.2,Diameter,,,,,,
EX,VVS2,M,2.4856,2.5355,0.01,Diameter,,,,,,
EX,VS1,M,2.4856,2.5355,2.95,Diameter,,,,,,
EX,VS2,M,2.4856,2.5355,2.8,Diameter,,,,,,
EX,SI1,M,2.4856,2.5355,2.5,Diameter,,,,,,
EX,SI2,M,2.4856,2.5355,2.3,Diameter,,,,,,
EX,SI3,M,2.4856,2.5355,1.9,Diameter,,,,,,
EX,I1,M,2.4856,2.5355,1.7,Diameter,,,,,,
EX,I2,M,2.4856,2.5355,1.15,Diameter,,,,,,
EX,I3,M,2.4856,2.5355,0.9,Diameter,,,,,,
EX,VVS1,N,2.4856,2.5355,0,Diameter,,,,,,
EX,VVS2,N,2.4856,2.5355,0,Diameter,,,,,,
EX,VS1,N,2.4856,2.5355,0,Diameter,,,,,,
EX,VS2,N,2.4856,2.5355,0,Diameter,,,,,,
EX,SI1,N,2.4856,2.5355,0,Diameter,,,,,,
EX,SI2,N,2.4856,2.5355,0,Diameter,,,,,,
EX,SI3,N,2.4856,2.5355,0,Diameter,,,,,,
EX,I1,N,2.4856,2.5355,0,Diameter,,,,,,
EX,I2,N,2.4856,2.5355,0,Diameter,,,,,,
EX,I3,N,2.4856,2.5355,0,Diameter,,,,,,
EX,VVS1,D,2.5356,2.5855,7.55,Diameter,,,,,,
EX,VVS2,D,2.5356,2.5855,0.01,Diameter,,,,,,
EX,VS1,D,2.5356,2.5855,5.7,Diameter,,,,,,
EX,VS2,D,2.5356,2.5855,5.1,Diameter,,,,,,
EX,SI1,D,2.5356,2.5855,4.7,Diameter,,,,,,
EX,SI2,D,2.5356,2.5855,4.3,Diameter,,,,,,
EX,SI3,D,2.5356,2.5855,3.85,Diameter,,,,,,
EX,I1,D,2.5356,2.5855,3.45,Diameter,,,,,,
EX,I2,D,2.5356,2.5855,2.5,Diameter,,,,,,
EX,I3,D,2.5356,2.5855,2,Diameter,,,,,,
EX,VVS1,E,2.5356,2.5855,7.55,Diameter,,,,,,
EX,VVS2,E,2.5356,2.5855,0.01,Diameter,,,,,,
EX,VS1,E,2.5356,2.5855,5.7,Diameter,,,,,,
EX,VS2,E,2.5356,2.5855,5.1,Diameter,,,,,,
EX,SI1,E,2.5356,2.5855,4.7,Diameter,,,,,,
EX,SI2,E,2.5356,2.5855,4.3,Diameter,,,,,,
EX,SI3,E,2.5356,2.5855,3.85,Diameter,,,,,,
EX,I1,E,2.5356,2.5855,3.45,Diameter,,,,,,
EX,I2,E,2.5356,2.5855,2.5,Diameter,,,,,,
EX,I3,E,2.5356,2.5855,2,Diameter,,,,,,
EX,VVS1,F,2.5356,2.5855,6.75,Diameter,,,,,,
EX,VVS2,F,2.5356,2.5855,0.01,Diameter,,,,,,
EX,VS1,F,2.5356,2.5855,5.25,Diameter,,,,,,
EX,VS2,F,2.5356,2.5855,4.9,Diameter,,,,,,
EX,SI1,F,2.5356,2.5855,4.5,Diameter,,,,,,
EX,SI2,F,2.5356,2.5855,4.3,Diameter,,,,,,
EX,SI3,F,2.5356,2.5855,3.8,Diameter,,,,,,
EX,I1,F,2.5356,2.5855,3.4,Diameter,,,,,,
EX,I2,F,2.5356,2.5855,2.5,Diameter,,,,,,
EX,I3,F,2.5356,2.5855,2,Diameter,,,,,,
EX,VVS1,G,2.5356,2.5855,6.75,Diameter,,,,,,
EX,VVS2,G,2.5356,2.5855,0.01,Diameter,,,,,,
EX,VS1,G,2.5356,2.5855,5.25,Diameter,,,,,,
EX,VS2,G,2.5356,2.5855,4.9,Diameter,,,,,,
EX,SI1,G,2.5356,2.5855,4.5,Diameter,,,,,,
EX,SI2,G,2.5356,2.5855,4.3,Diameter,,,,,,
EX,SI3,G,2.5356,2.5855,3.8,Diameter,,,,,,
EX,I1,G,2.5356,2.5855,3.4,Diameter,,,,,,
EX,I2,G,2.5356,2.5855,2.5,Diameter,,,,,,
EX,I3,G,2.5356,2.5855,2,Diameter,,,,,,
EX,VVS1,H,2.5356,2.5855,5.6,Diameter,,,,,,
EX,VVS2,H,2.5356,2.5855,0.01,Diameter,,,,,,
EX,VS1,H,2.5356,2.5855,4.5,Diameter,,,,,,
EX,VS2,H,2.5356,2.5855,4.35,Diameter,,,,,,
EX,SI1,H,2.5356,2.5855,4.25,Diameter,,,,,,
EX,SI2,H,2.5356,2.5855,3.95,Diameter,,,,,,
EX,SI3,H,2.5356,2.5855,3.4,Diameter,,,,,,
EX,I1,H,2.5356,2.5855,2.9,Diameter,,,,,,
EX,I2,H,2.5356,2.5855,2.2,Diameter,,,,,,
EX,I3,H,2.5356,2.5855,1.7,Diameter,,,,,,
EX,VVS1,I,2.5356,2.5855,5.6,Diameter,,,,,,
EX,VVS2,I,2.5356,2.5855,0.01,Diameter,,,,,,
EX,VS1,I,2.5356,2.5855,4.5,Diameter,,,,,,
EX,VS2,I,2.5356,2.5855,4.35,Diameter,,,,,,
EX,SI1,I,2.5356,2.5855,4.25,Diameter,,,,,,
EX,SI2,I,2.5356,2.5855,3.95,Diameter,,,,,,
EX,SI3,I,2.5356,2.5855,3.4,Diameter,,,,,,
EX,I1,I,2.5356,2.5855,2.9,Diameter,,,,,,
EX,I2,I,2.5356,2.5855,2.2,Diameter,,,,,,
EX,I3,I,2.5356,2.5855,1.7,Diameter,,,,,,
EX,VVS1,J,2.5356,2.5855,4.35,Diameter,,,,,,
EX,VVS2,J,2.5356,2.5855,0.01,Diameter,,,,,,
EX,VS1,J,2.5356,2.5855,4.15,Diameter,,,,,,
EX,VS2,J,2.5356,2.5855,4.1,Diameter,,,,,,
EX,SI1,J,2.5356,2.5855,3.5,Diameter,,,,,,
EX,SI2,J,2.5356,2.5855,3.3,Diameter,,,,,,
EX,SI3,J,2.5356,2.5855,2.7,Diameter,,,,,,
EX,I1,J,2.5356,2.5855,2.4,Diameter,,,,,,
EX,I2,J,2.5356,2.5855,1.6,Diameter,,,,,,
EX,I3,J,2.5356,2.5855,1.25,Diameter,,,,,,
EX,VVS1,K,2.5356,2.5855,4.35,Diameter,,,,,,
EX,VVS2,K,2.5356,2.5855,0.01,Diameter,,,,,,
EX,VS1,K,2.5356,2.5855,4.15,Diameter,,,,,,
EX,VS2,K,2.5356,2.5855,4.1,Diameter,,,,,,
EX,SI1,K,2.5356,2.5855,3.5,Diameter,,,,,,
EX,SI2,K,2.5356,2.5855,3.3,Diameter,,,,,,
EX,SI3,K,2.5356,2.5855,2.7,Diameter,,,,,,
EX,I1,K,2.5356,2.5855,2.4,Diameter,,,,,,
EX,I2,K,2.5356,2.5855,1.6,Diameter,,,,,,
EX,I3,K,2.5356,2.5855,1.25,Diameter,,,,,,
EX,VVS1,L,2.5356,2.5855,3.2,Diameter,,,,,,
EX,VVS2,L,2.5356,2.5855,0.01,Diameter,,,,,,
EX,VS1,L,2.5356,2.5855,2.95,Diameter,,,,,,
EX,VS2,L,2.5356,2.5855,2.8,Diameter,,,,,,
EX,SI1,L,2.5356,2.5855,2.5,Diameter,,,,,,
EX,SI2,L,2.5356,2.5855,2.3,Diameter,,,,,,
EX,SI3,L,2.5356,2.5855,1.9,Diameter,,,,,,
EX,I1,L,2.5356,2.5855,1.7,Diameter,,,,,,
EX,I2,L,2.5356,2.5855,1.15,Diameter,,,,,,
EX,I3,L,2.5356,2.5855,0.9,Diameter,,,,,,
EX,VVS1,M,2.5356,2.5855,3.2,Diameter,,,,,,
EX,VVS2,M,2.5356,2.5855,0.01,Diameter,,,,,,
EX,VS1,M,2.5356,2.5855,2.95,Diameter,,,,,,
EX,VS2,M,2.5356,2.5855,2.8,Diameter,,,,,,
